Area Code;Item Code;Element Code;Year;qty
8;2781;5142;2012;0
8;2782;5142;2012;0
8;2744;5142;2012;0
8;2848;5521;2012;0
8;2848;5142;2012;11
8;2761;5142;2012;0
8;2762;5142;2012;1
8;2763;5521;2012;0
8;2763;5142;2012;1
8;2764;5521;2012;0
8;2764;5142;2012;2
8;2765;5142;2012;1
8;2766;5142;2012;0
8;2767;5142;2012;1
8;2775;5142;2012;0
8;2680;5142;2012;0
8;2905;5521;2012;0
8;2905;5142;2012;6
8;2907;5521;2012;0
8;2907;5142;2012;3
8;2908;5521;2012;0
8;2909;5142;2012;3
8;2911;5142;2012;0
8;2912;5142;2012;0
8;2913;5142;2012;0
8;2914;5142;2012;1
8;2918;5142;2012;6
8;2919;5142;2012;13
8;2922;5142;2012;0
8;2923;5142;2012;0
8;2924;5142;2012;2
8;2943;5142;2012;7
8;2945;5142;2012;0
8;2946;5142;2012;1
8;2949;5142;2012;0
8;2948;5521;2012;0
8;2948;5142;2012;11
8;2960;5521;2012;0
8;2960;5142;2012;5
8;2961;5142;2012;0
8;2928;5142;2012;0
9;2511;5521;2012;0
9;2511;5142;2012;4040
9;2805;5142;2012;332
9;2513;5521;2012;16
9;2513;5142;2012;0
9;2514;5521;2012;3087
9;2514;5142;2012;431
9;2515;5521;2012;23
9;2515;5142;2012;0
9;2516;5521;2012;255
9;2516;5142;2012;45
9;2517;5521;2012;9
9;2518;5521;2012;1433
9;2520;5521;2012;1
9;2520;5142;2012;13
9;2532;5521;2012;90
9;2532;5142;2012;81
9;2531;5142;2012;1557
9;2533;5142;2012;369
9;2542;5142;2012;1697
9;2543;5142;2012;268
9;2745;5142;2012;1
9;2546;5142;2012;0
9;2547;5142;2012;1
9;2549;5142;2012;11
9;2551;5142;2012;19
9;2555;5521;2012;401
9;2555;5142;2012;0
9;2556;5142;2012;0
9;2558;5142;2012;0
9;2560;5142;2012;17
9;2561;5142;2012;1
9;2563;5142;2012;8
9;2570;5521;2012;0
9;2570;5142;2012;0
9;2571;5142;2012;113
9;2572;5142;2012;1
9;2573;5142;2012;448
9;2574;5142;2012;2
9;2575;5142;2012;4
9;2578;5142;2012;4
9;2579;5142;2012;0
9;2580;5142;2012;8
9;2582;5142;2012;26
9;2586;5142;2012;0
9;2601;5142;2012;711
9;2602;5142;2012;555
9;2605;5521;2012;0
9;2605;5142;2012;1735
9;2611;5142;2012;968
9;2612;5142;2012;391
9;2613;5142;2012;123
